# Time[fs]	ED=0.0012[aJ]	ED=0.0020[aJ]	ED=0.0028[aJ]	ED=0.0035[aJ]
1424.0	3.63527594486E-6	3.29058720115E-4	0.00538330918276	0.0203714130905
1426.0	3.69999351108E-6	3.34148507078E-4	0.00547546995256	0.020554521765
1428.0	3.75277815576E-6	3.41094248745E-4	0.00555601188733	0.0207396516717
1430.0	3.81492626913E-6	3.46783934074E-4	0.00565966408502	0.0209145285723
1432.0	3.89406977217E-6	3.50384114893E-4	0.00574916428402	0.0210809889706
1434.0	3.95063497032E-6	3.54569467153E-4	0.00586272869888	0.0212755441831
1436.0	3.98580727123E-6	3.59256747618E-4	0.00598806119937	0.0214721066821
1438.0	4.03009911465E-6	3.63964984548E-4	0.00609630842648	0.0217263536049
1440.0	4.07583652042E-6	3.68249360165E-4	0.00621117325899	0.0219116997147
1442.0	4.11960094938E-6	3.72066436048E-4	0.00634124452567	0.0221174630209
1444.0	4.1659126421E-6	3.76264863869E-4	0.00644311226253	0.0223138026317
1446.0	4.21740968748E-6	3.83085052818E-4	0.00656684498482	0.0224862325414
1448.0	4.26219559629E-6	3.88706135468E-4	0.00668867141656	0.0227110388326
1450.0	4.31279756681E-6	3.93497205805E-4	0.00680115051081	0.0230026150802
1452.0	4.38950348958E-6	3.98596730518E-4	0.00692920479801	0.023242487936
1454.0	4.46345799808E-6	4.05020227621E-4	0.00704318650264	0.0234664964473
1456.0	4.51989010581E-6	4.1246148819E-4	0.00715866826203	0.0236481966317
1458.0	4.57280555689E-6	4.18090526377E-4	0.00726447949583	0.0237966768076
1460.0	4.6212707291E-6	4.22309289797E-4	0.00734285168761	0.0240147447275
1462.0	4.6692464713E-6	4.25880483508E-4	0.00745539440378	0.0242495179775
1464.0	4.72188552348E-6	4.31014925431E-4	0.00757561972824	0.0244832495846
1466.0	4.75929807854E-6	4.37341595349E-4	0.00770372400552	0.0247374398191
1468.0	4.79342502146E-6	4.45746592281E-4	0.00782176577593	0.0249431579935
1470.0	4.83849403201E-6	4.52845110234E-4	0.00795356276469	0.025165282122
1472.0	4.87868287428E-6	4.63053048387E-4	0.00807624109752	0.0253441726183
1474.0	4.92324667496E-6	4.71464293934E-4	0.00821094614355	0.0255308986563
1476.0	4.97188942733E-6	4.82306900472E-4	0.00835306538165	0.0257608685491
1478.0	5.0113932918E-6	4.918989193E-4	0.00849023657477	0.0259678607751
1480.0	5.0584307656E-6	4.98187873546E-4	0.00859740325193	0.0261968426099
