# Time[fs]	ED_cav=0.03[aJ]	ED_free=0.03[aJ]	ED_cav=0.06[aJ]	ED_free=0.06[aJ]	ED_cav=0.11[aJ]	ED_free=0.11[aJ]
1262.0	6.52877535346E-5	1.19330549459E-7	0.0139719494801	3.61232566348E-4	0.760227368139	0.817446237886
1264.0	6.60943207038E-5	1.19370831187E-7	0.0140615324377	3.62034623641E-4	0.760460081098	0.817455082311
1266.0	6.66634259082E-5	1.19405615658E-7	0.0141615148081	3.63201198785E-4	0.761008763805	0.817850542037
1268.0	6.7235829332E-5	1.19410354299E-7	0.0143076969734	3.63834228515E-4	0.761708130022	0.818624152624
1270.0	6.7814062965E-5	1.19411015326E-7	0.0145846179622	3.64095471294E-4	0.762190372762	0.818954234125
1272.0	6.84288866212E-5	1.19418362341E-7	0.014771758443	3.64232926868E-4	0.762885143025	0.819549471471
1274.0	6.90535906242E-5	1.19427624912E-7	0.0150271298774	3.64484180928E-4	0.76342219011	0.820451705451
1276.0	6.97836933155E-5	1.19433017887E-7	0.0151888771133	3.65283726395E-4	0.763952449285	0.820375618834
1278.0	7.07966990064E-5	1.194445462E-7	0.0153536916494	3.66406022533E-4	0.764256022647	0.820877967339
1280.0	7.16769572348E-5	1.19455046171E-7	0.0154644332455	3.66871812314E-4	0.764625854263	0.820962954158
1282.0	7.27447178001E-5	1.21831426591E-7	0.0155662545686	3.68902013603E-4	0.76484900367	0.821074566023
1284.0	7.37172503683E-5	1.24243728762E-7	0.0156682474923	3.69037325802E-4	0.765055655938	0.821331854232
1286.0	7.45538110843E-5	1.24407654221E-7	0.0157983133797	3.70618698472E-4	0.765302988649	0.8213471462
1288.0	7.52315747309E-5	1.24592673141E-7	0.0159064637639	3.70736380827E-4	0.765867693322	0.821489783698
1290.0	7.5847687887E-5	1.24659797843E-7	0.016028193993	3.70802908319E-4	0.767040094904	0.821616705665
1292.0	7.63470592453E-5	1.24685613284E-7	0.0162756793078	3.71040284489E-4	0.767819181649	0.823415888856
1294.0	7.68950607956E-5	1.24849233014E-7	0.0165386201968	3.71299439761E-4	0.768516357924	0.823538536531
